model,logN,num_cores,cut_position,forward_time_total,backprop_time_total
bcwfc,,16,2,1.8e-05,2.2e-05
bcwfc,,16,3,8e-06,9e-06
bcwfc,,16,4,0.0,0.0
bcwfc,,32,0,3.9500000000000005e-05,5.3e-05
bcwfc,,32,1,2.25e-05,2.4999999999999998e-05
bcwfc,,32,2,1.6e-05,2.2e-05
bcwfc,,32,3,7e-06,9e-06
bcwfc,,32,4,0.0,0.0
bcwfc,,40,0,2.45e-05,2.8e-05
bcwfc,,40,1,1.2499999999999999e-05,1.6e-05
bcwfc,,40,2,9e-06,1.4e-05
bcwfc,,40,3,4e-06,4.9999999999999996e-06
bcwfc,,40,4,0.0,0.0
bcwfc,13,1,0,0.0,0.0
bcwfc,13,1,1,9.876452,6.6704419999999995
bcwfc,13,1,2,10.715798,8.180028499999999
bcwfc,13,1,3,15.80031,12.791435499999999
bcwfc,13,1,4,19.405063,16.721165499999998
bcwfc,13,2,0,0.0,0.0
bcwfc,13,2,1,5.179661,3.58073
bcwfc,13,2,2,5.631569000000001,4.4616644999999995
bcwfc,13,2,3,8.574268,7.132031499999999
bcwfc,13,2,4,10.501121,9.2887165
bcwfc,13,4,0,0.0,0.0
bcwfc,13,4,1,2.841452,1.92008
bcwfc,13,4,2,3.107431,2.3704035
bcwfc,13,4,3,4.612907,3.7619485
bcwfc,13,4,4,5.440777,4.6713065
bcwfc,13,8,0,0.0,0.0
bcwfc,13,8,1,1.786904,1.151451
bcwfc,13,8,2,1.9382535,1.433015
bcwfc,13,8,3,2.8761405,2.285578
bcwfc,13,8,4,3.5335375,2.941331
bcwfc,13,16,0,0.0,0.0
bcwfc,13,16,1,0.95686,0.6121209999999999
bcwfc,13,16,2,1.041839,0.7615409999999999
bcwfc,13,16,3,1.541804,1.197771
bcwfc,13,16,4,1.8692,1.5555919999999999
bcwfc,13,32,0,0.0,0.0
bcwfc,13,32,1,0.448722,0.282732
bcwfc,13,32,2,0.4908255,0.3592105
bcwfc,13,32,3,0.7411525000000001,0.5947884999999999
bcwfc,13,32,4,0.9169395000000001,0.7847744999999999
bcwfc,13,40,0,0.0,0.0
bcwfc,13,40,1,0.370496,0.14821600000000001
bcwfc,13,40,2,0.390757,0.18192250000000001
